id;date;details;status;payment_method;payment_date;payment_amount
1;2020-05-28T18:51:50;RAM Focused;PAID;CASH_ON_DELIVERY;2020-05-29T03:13:57;64379
2;2020-05-28T15:41:56;Licensed Soft Sausages Rhode Island;CANCELLED;CASH_ON_DELIVERY;2020-05-28T20:52:14;17323
3;2020-05-28T20:09:21;Incredible Baby;CANCELLED;PAYPAL;2020-05-28T23:41:02;11017
4;2020-05-28T17:39:16;back-end Money Market Account Legacy;ISSUED;CASH_ON_DELIVERY;2020-05-28T17:43:24;51438
5;2020-05-28T12:19:24;function;PAID;PAYPAL;2020-05-29T04:53:29;32278
6;2020-05-28T13:19:12;action-items;CANCELLED;CASH_ON_DELIVERY;2020-05-29T03:06:24;5232
7;2020-05-29T06:05:55;Internal compressing Iceland;CANCELLED;CREDIT_CARD;2020-05-28T23:43:17;62169
8;2020-05-28T16:00:59;Toys;ISSUED;PAYPAL;2020-05-29T02:38:56;10756
9;2020-05-28T17:31:24;Small Rubber Salad Oklahoma;CANCELLED;PAYPAL;2020-05-29T07:14:57;58055
10;2020-05-28T16:09:09;navigate Home Loan Account Guinea-Bissau;PAID;PAYPAL;2020-05-29T04:35:20;94075
