id;placed_date;status;code
1;2020-05-29T02:13:50;COMPLETED;Georgia calculate withdrawal
2;2020-05-28T13:10:20;COMPLETED;compress Steel out-of-the-box
3;2020-05-28T14:41:32;PENDING;Concrete
4;2020-05-29T04:07:27;CANCELLED;Investment Account
5;2020-05-28T15:24:17;PENDING;United States of America
6;2020-05-29T05:36:21;CANCELLED;IB Industrial Credit Card Account
7;2020-05-29T08:42:46;CANCELLED;Cotton Egyptian Pound
8;2020-05-28T17:38:50;COMPLETED;Home Loan Account
9;2020-05-29T02:33:06;COMPLETED;Human
10;2020-05-28T12:41:44;CANCELLED;payment
